title,year_released,budget,box_office_receipts,scary_character_name,scary_character_weapon
The Wizard of Oz,1939,2800000,26100000,The Wicked Witch of the West,evil spells
Psycho,1960,806947,50000000,Norman Bates,chef's knife
Halloween,1978,325000,70000000,Michael Myers,chef's knife
Friday the 13th,1980,5500000,59800000,Jason Vorhees,machete
The Shining,1980,19000000,46200000,Jack Torrance,axe
A Nightmare on Elm Street,1984,1800000,25500000,Freddy Krueger,clawed glove
A Nightmare on Elm Street 2: Freddy's Revenge,1985,3000000,30000000,Freddy Krueger,clawed glove
Child's Play,1988,9000000,44200000,Chucky,kitchen knife
Scream,1996,15000000,173000000,Ghostface,knife
The Ring,2002,48000000,249400000,Samara,nensha telepathy
The Babadook,2014,2000000,10300000,Babadook,possession
Train to Busan,2016,8500000,98500000,Zombie,incisors
Get Out,2017,4500000,255400000,Rose Armitage,tricksterism
It: Chapter One,2017,35000000,700000000,Pennywise the Dancing Clown,superhuman strength
